CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Black-bellied Whistling-duck,Dendrocygna autumnalis,1,77749
Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,2,77751
Taiga Bean-Goose,Anser fabalis,Bean Goose,Anser fabalis,3,77727
Tundra Bean-Goose,Anser serrirostris,Bean Goose,Anser serrirostris,4,77730
Pink-footed Goose,Anser brachyrhynchus,Pink-footed Goose,Anser brachyrhynchus,5,77740
Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,6,77723
Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,7,77737
Graylag Goose,Anser anser,Greylag Goose,Anser anser,8,77731
Emperor Goose,Chen canagica,Emperor Goose,Anser canagicus,9,77747
Snow Goose,Chen caerulescens,Snow Goose,Anser caerulescens,10,77742
Ross's Goose,Chen rossii,Ross's Goose,Anser rossii,11,77746
Brant,Branta bernicla,Brent Goose,Branta bernicla,12,77713
Barnacle Goose,Branta leucopsis,Barnacle Goose,Branta leucopsis,13,77716
Cackling Goose,Branta hutchinsii,Cackling Goose,Branta hutchinsii,14,604603
Canada Goose,Branta canadensis,Canada Goose,Branta canadensis,15,76625
Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,16,76610
Trumpeter Swan,Cygnus buccinator,Trumpeter Swan,Cygnus buccinator,17,76618
Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,18,76612
Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,19,76616
Egyptian Goose,Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,20,78608
Muscovy Duck,Cairina moschata,Muscovy Duck,Cairina moschata,21,78643
Wood Duck,Aix sponsa,Wood Duck,Aix sponsa,22,77836
Gadwall,Anas strepera,Gadwall,Mareca strepera,23,77781
Falcated Duck,Anas falcata,Falcated Duck,Mareca falcata,24,77789
Eurasian Wigeon,Anas penelope,Eurasian Wigeon,Mareca penelope,25,77802
American Wigeon,Anas americana,American Wigeon,Mareca americana,26,77804
American Black Duck,Anas rubripes,American Black Duck,Anas rubripes,27,77775
Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,28,77770
Mottled Duck,Anas fulvigula,Mottled Duck,Anas fulvigula,29,77778
Eastern Spot-billed Duck,Anas zonorhyncha,Chinese Spot-billed Duck,Anas zonorhyncha,30,604927
Blue-winged Teal,Anas discors,Blue-winged Teal,Spatula discors,31,77795
Cinnamon Teal,Anas cyanoptera,Cinnamon Teal,Spatula cyanoptera,32,77798
Northern Shoveler,Anas clypeata,Northern Shoveler,Spatula clypeata,33,77806
White-cheeked Pintail,Anas bahamensis,White-cheeked Pintail,Anas bahamensis,34,77786
Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,35,77782
Garganey,Anas querquedula,Garganey,Spatula querquedula,36,77803
Baikal Teal,Anas formosa,Baikal Teal,Sibirionetta formosa,37,77794
Green-winged Teal,Anas crecca,,Anas crecca,38,77790
Canvasback,Aythya valisineria,Canvasback,Aythya valisineria,39,78513
Redhead,Aythya americana,Redhead,Aythya americana,40,77839
Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,41,77840
Ring-necked Duck,Aythya collaris,Ring-necked Duck,Aythya collaris,42,78512
Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,43,78520
Greater Scaup,Aythya marila,Greater Scaup,Aythya marila,44,78515
Lesser Scaup,Aythya affinis,Lesser Scaup,Aythya affinis,45,78519
Steller's Eider,Polysticta stelleri,Steller's Eider,Polysticta stelleri,46,78540
Spectacled Eider,Somateria fischeri,Spectacled Eider,Somateria fischeri,47,78549
King Eider,Somateria spectabilis,King Eider,Somateria spectabilis,48,78548
Common Eider,Somateria mollissima,Common Eider,Somateria mollissima,49,78542
Harlequin Duck,Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus,50,78535
Labrador Duck,Camptorhynchus labradorius,Labrador Duck,Camptorhynchus labradorius,51,78538
Surf Scoter,Melanitta perspicillata,Surf Scoter,Melanitta perspicillata,52,78559
White-winged Scoter,Melanitta fusca,White-winged Scoter,Melanitta deglandi,53,78551
Common Scoter,Melanitta nigra,Common Scoter,Melanitta nigra,54,78560
Black Scoter,Melanitta americana,Black Scoter,Melanitta americana,55,604931
Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,56,78533
Bufflehead,Bucephala albeola,Bufflehead,Bucephala albeola,57,78531
Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,58,78527
Barrow's Goldeneye,Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,59,78530
Smew,Mergellus albellus,Smew,Mergellus albellus,60,78587
Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus,61,78573
Common Merganser,Mergus merganser,Goosander,Mergus merganser,62,78575
Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,63,78577
Masked Duck,Nomonyx dominicus,Masked Duck,Nomonyx dominicus,64,265807
Ruddy Duck,Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,65,78564
Plain Chachalaca,Ortalis vetula,Plain Chachalaca,Ortalis vetula,66,82647
Mountain Quail,Oreortyx pictus,Mountain Quail,Oreortyx pictus,67,84314
Northern Bobwhite,Colinus virginianus,Northern Bobwhite,Colinus virginianus,68,84281
Scaled Quail,Callipepla squamata,Scaled Quail,Callipepla squamata,69,84291
California Quail,Callipepla californica,California Quail,Callipepla californica,70,84295
Gambel's Quail,Callipepla gambelii,Gambel's Quail,Callipepla gambelii,71,84296
Montezuma Quail,Cyrtonyx montezumae,Montezuma Quail,Cyrtonyx montezumae,72,84323
Chukar,Alectoris chukar,Chukar,Alectoris chukar,73,84331
Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,74,84381
Gray Partridge,Perdix perdix,Grey Partridge,Perdix perdix,75,84339
Ring-necked Pheasant,Phasianus colchicus,Common Pheasant,Phasianus colchicus,76,84328
Ruffed Grouse,Bonasa umbellus,Ruffed Grouse,Bonasa umbellus,77,83131
Greater Sage-Grouse,Centrocercus urophasianus,Sage Grouse,Centrocercus urophasianus,78,84272
Gunnison Sage-Grouse,Centrocercus minimus,Gunnison Grouse,Centrocercus minimus,79,529881
Spruce Grouse,Falcipennis canadensis,Spruce Grouse,Falcipennis canadensis,80,263111
Willow Ptarmigan,Lagopus lagopus,Willow Grouse,Lagopus lagopus,81,83147
Rock Ptarmigan,Lagopus muta,Rock Ptarmigan,Lagopus muta,82,529885
White-tailed Ptarmigan,Lagopus leucura,White-tailed Ptarmigan,Lagopus leucura,83,529883
Dusky Grouse,Dendragapus obscurus,Dusky Grouse,Dendragapus obscurus,84,84278
Sooty Grouse,Dendragapus fuliginosus,Sooty Grouse,Dendragapus fuliginosus,85,673742
Sharp-tailed Grouse,Tympanuchus phasianellus,Sharp-tailed Grouse,Tympanuchus phasianellus,86,83188
Greater Prairie-Chicken,Tympanuchus cupido,Greater Prairie-chicken,Tympanuchus cupido,87,83180
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Lesser Prairie-chicken,Tympanuchus pallidicinctus,88,83184
Wild Turkey,Meleagris gallopavo,Wild Turkey,Meleagris gallopavo,89,86451
American Flamingo,Phoenicopterus ruber,American Flamingo,Phoenicopterus ruber,90,76600
Least Grebe,Tachybaptus dominicus,Least Grebe,Tachybaptus dominicus,91,81715
Pied-billed Grebe,Podilymbus podiceps,Pied-billed Grebe,Podilymbus podiceps,92,81712
Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,93,81686
Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,94,81682
Eared Grebe,Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,95,81689
Western Grebe,Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,96,81710
Clark's Grebe,Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,97,265055
Rock Pigeon,Columba livia,Rock Dove,Columba livia,98,82677
Scaly-naped Pigeon,Patagioenas squamosa,Scaly-naped Pigeon,Patagioenas squamosa,99,525800
White-crowned Pigeon,Patagioenas leucocephala,White-crowned Pigeon,Patagioenas leucocephala,100,525785
Red-billed Pigeon,Patagioenas flavirostris,Red-billed Pigeon,Patagioenas flavirostris,101,525779
Band-tailed Pigeon,Patagioenas fasciata,Northern Band-tailed Pigeon,Patagioenas fasciata,102,525775
Oriental Turtle-Dove,Streptopelia orientalis,Oriental Turtle-dove,Streptopelia orientalis,103,82756
European Turtle-Dove,Streptopelia turtur,European Turtle-dove,Streptopelia turtur,104,82763
Eurasian Collared-Dove,Streptopelia decaocto,Eurasian Collared-dove,Streptopelia decaocto,105,82752
Spotted Dove,Streptopelia chinensis,,,106,82747
Passenger Pigeon,Ectopistes migratorius,Passenger Pigeon,Ectopistes migratorius,107,82745
Inca Dove,Columbina inca,Inca Dove,Columbina inca,108,82778
Common Ground-Dove,Columbina passerina,Common Ground-dove,Columbina passerina,109,82767
Ruddy Ground-Dove,Columbina talpacoti,Ruddy Ground-dove,Columbina talpacoti,110,82771
Ruddy Quail-Dove,Geotrygon montana,Ruddy Quail-dove,Geotrygon montana,111,83468
Key West Quail-Dove,Geotrygon chrysia,Key West Quail-dove,Geotrygon chrysia,112,83466
White-tipped Dove,Leptotila verreauxi,White-tipped Dove,Leptotila verreauxi,113,82782
White-winged Dove,Zenaida asiatica,White-winged Dove,Zenaida asiatica,114,82733
Zenaida Dove,Zenaida aurita,Zenaida Dove,Zenaida aurita,115,82729
Mourning Dove,Zenaida macroura,Mourning Dove,Zenaida macroura,116,82737
Common Cuckoo,Cuculus canorus,Common Cuckoo,Cuculus canorus,117,89092
Oriental Cuckoo,Cuculus optatus,Oriental Cuckoo,Cuculus saturatus,118,582819
Yellow-billed Cuckoo,Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus,119,89102
Mangrove Cuckoo,Coccyzus minor,Mangrove Cuckoo,Coccyzus minor,120,89098
Black-billed Cuckoo,Coccyzus erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus,121,89105
Greater Roadrunner,Geococcyx californianus,Greater Roadrunner,Geococcyx californianus,122,89107
Smooth-billed Ani,Crotophaga ani,Smooth-billed Ani,Crotophaga ani,123,89109
Groove-billed Ani,Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,124,89110
Lesser Nighthawk,Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis,125,83029
Common Nighthawk,Chordeiles minor,Common Nighthawk,Chordeiles minor,126,83019
Antillean Nighthawk,Chordeiles gundlachii,Antillean Nighthawk,Chordeiles gundlachii,127,83034
Common Pauraque,Nyctidromus albicollis,Pauraque,Nyctidromus albicollis,128,83015
Common Poorwill,Phalaenoptilus nuttallii,Common Poorwill,Phalaenoptilus nuttallii,129,271703
Chuck-will's-widow,Antrostomus carolinensis,Chuck-will's-widow,Antrostomus carolinensis,130,1002945
Buff-collared Nightjar,Antrostomus ridgwayi,Buff-collared Nightjar,Antrostomus ridgwayi,131,1002946
Eastern Whip-poor-will,Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus,132,669787
Mexican Whip-poor-will,Antrostomus arizonae,Mexican Whip-poor-will,Antrostomus arizonae,133,1002944
Gray Nightjar,Caprimulgus indicus,Jungle Nightjar,Caprimulgus indicus,134,83003
Black Swift,Cypseloides niger,Black Swift,Cypseloides niger,135,83039
White-collared Swift,Streptoprocne zonaris,White-collared Swift,Streptoprocne zonaris,136,83874
Chimney Swift,Chaetura pelagica,Chimney Swift,Chaetura pelagica,137,83046
Vaux's Swift,Chaetura vauxi,Vaux's Swift,Chaetura vauxi,138,83047
White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,139,83872
Common Swift,Apus apus,Common Swift,Apus apus,140,83056
Fork-tailed Swift,Apus pacificus,Pacific Swift,Apus pacificus,141,83053
White-throated Swift,Aeronautes saxatalis,White-throated Swift,Aeronautes saxatalis,142,83060
Antillean Palm-Swift,Tachornis phoenicobia,Antillean Palm-swift,Tachornis phoenicobia,143,83876
Mexican Violetear,Colibri thalassinus,Green Violet-ear,Colibri thalassinus,144,83941
Green-breasted Mango,Anthracothorax prevostii,Green-breasted Mango,Anthracothorax prevostii,145,270363
Magnificent Hummingbird,Eugenes fulgens,Magnificent Hummingbird,Eugenes fulgens,146,83904
Plain-capped Starthroat,Heliomaster constantii,Plain-capped Starthroat,Heliomaster constantii,147,83945
Blue-throated Hummingbird,Lampornis clemenciae,Blue-throated Hummingbird,Lampornis clemenciae,148,83908
Bahama Woodstar,Calliphlox evelynae,Bahama Woodstar,Calliphlox evelynae,149,83937
Lucifer Hummingbird,Calothorax lucifer,Lucifer Hummingbird,Calothorax lucifer,150,83882
Ruby-throated Hummingbird,Archilochus colubris,Ruby-throated Hummingbird,Archilochus colubris,151,83884
Black-chinned Hummingbird,Archilochus alexandri,Black-chinned Hummingbird,Archilochus alexandri,152,83885
Anna's Hummingbird,Calypte anna,Anna's Hummingbird,Calypte anna,153,83888
Costa's Hummingbird,Calypte costae,Costa's Hummingbird,Calypte costae,154,83887
Bumblebee Hummingbird,Atthis heloisa,Bumblebee Hummingbird,Atthis heloisa,155,83898
Broad-tailed Hummingbird,Selasphorus platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,156,83890
Rufous Hummingbird,Selasphorus rufus,Rufous Hummingbird,Selasphorus rufus,157,83893
Allen's Hummingbird,Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,158,83894
Calliope Hummingbird,Selasphorus calliope,Calliope Hummingbird,Selasphorus calliope,159,926922
Broad-billed Hummingbird,Cynanthus latirostris,Broad-billed Hummingbird,Cynanthus latirostris,160,83929
Berylline Hummingbird,Amazilia beryllina,Berylline Hummingbird,Amazilia beryllina,161,83920
Buff-bellied Hummingbird,Amazilia yucatanensis,Buff-bellied Hummingbird,Amazilia yucatanensis,162,83915
Cinnamon Hummingbird,Amazilia rutila,Cinnamon Hummingbird,Amazilia rutila,163,265500
Violet-crowned Hummingbird,Amazilia violiceps,Violet-crowned Hummingbird,Amazilia violiceps,164,83921
White-eared Hummingbird,Hylocharis leucotis,White-eared Hummingbird,Basilinna leucotis,165,83924
Xantus's Hummingbird,Hylocharis xantusii,Xantus's Hummingbird,Basilinna xantusii,166,83923
Yellow Rail,Coturnicops noveboracensis,Yellow Rail,Coturnicops noveboracensis,167,87253
Black Rail,Laterallus jamaicensis,Black Rail,Laterallus jamaicensis,168,87258
Corn Crake,Crex crex,Corncrake,Crex crex,169,87273
Ridgway's Rail,Rallus obsoletus,Ridgway's Rail,Rallus obsoletus,170,1006097
Clapper Rail,Rallus crepitans,Clapper Rail,Rallus crepitans,171,166400
King Rail,Rallus elegans,King Rail,Rallus elegans,172,86530
Virginia Rail,Rallus limicola,Virginia Rail,Rallus limicola,173,87212
Rufous-necked Wood-Rail,Aramides axillaris,Rufous-necked Wood-rail,Aramides axillaris,174,87324
Sora,Porzana carolina,Sora,Porzana carolina,175,87235
Paint-billed Crake,Neocrex erythrops,Paint-billed Crake,Neocrex erythrops,176,88166
Spotted Rail,Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,177,76701
Purple Swamphen,Porphyrio porphyrio,Purple Swamphen,Porphyrio porphyrio,178,76697
Purple Gallinule,Porphyrio martinicus,Purple Gallinule,Porphyrio martinicus,179,283874
Common Gallinule,Gallinula galeata,Common Gallinule,Gallinula galeata,180,773824
Common Moorhen,Gallinula chloropus,Common Moorhen,Gallinula chloropus,181,87281
Eurasian Coot,Fulica atra,Common Coot,Fulica atra,182,87288
American Coot,Fulica americana,American Coot,Fulica americana,183,87290
Sungrebe,Heliornis fulica,Sungrebe,Heliornis fulica,184,76710
Limpkin,Aramus guarauna,Limpkin,Aramus guarauna,185,86518
Sandhill Crane,Antigone canadensis,Sandhill Crane,Antigone canadensis,186,86496
Common Crane,Grus grus,Common Crane,Grus grus,187,86503
Whooping Crane,Grus americana,Whooping Crane,Grus americana,188,86495
Double-striped Thick-knee,Burhinus bistriatus,Double-striped Thick-knee,Burhinus bistriatus,189,80307
Black-winged Stilt,Himantopus himantopus,Black-winged Stilt,Himantopus himantopus,190,80286
Black-necked Stilt,Himantopus mexicanus,,Himantopus mexicanus,191,80285
American Avocet,Recurvirostra americana,American Avocet,Recurvirostra americana,192,80280
Eurasian Oystercatcher,Haematopus ostralegus,Eurasian Oystercatcher,Haematopus ostralegus,193,77588
American Oystercatcher,Haematopus palliatus,American Oystercatcher,Haematopus palliatus,194,77592
Black Oystercatcher,Haematopus bachmani,,Haematopus bachmani,195,77595
Northern Lapwing,Vanellus vanellus,Northern Lapwing,Vanellus vanellus,196,77602
Black-bellied Plover,Pluvialis squatarola,Grey Plover,Pluvialis squatarola,197,77697
European Golden-Plover,Pluvialis apricaria,Eurasian Golden Plover,Pluvialis apricaria,198,77691
American Golden-Plover,Pluvialis dominica,American Golden Plover,Pluvialis dominica,199,77694
Pacific Golden-Plover,Pluvialis fulva,Pacific Golden Plover,Pluvialis fulva,200,265872
Lesser Sand-Plover,Charadrius mongolus,Lesser Sandplover,Charadrius mongolus,201,77639
Greater Sand-Plover,Charadrius leschenaultii,Greater Sandplover,Charadrius leschenaultii,202,77659
Collared Plover,Charadrius collaris,Collared Plover,Charadrius collaris,203,77653
Snowy Plover,Charadrius nivosus,Snowy Plover,Charadrius nivosus,204,848187
Wilson's Plover,Charadrius wilsonia,Wilson's Plover,Charadrius wilsonia,205,77642
Common Ringed Plover,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,206,77628
Semipalmated Plover,Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus,207,77630
Piping Plover,Charadrius melodus,Piping Plover,Charadrius melodus,208,77631
Little Ringed Plover,Charadrius dubius,Little Ringed Plover,Charadrius dubius,209,77655
Killdeer,Charadrius vociferus,Killdeer,Charadrius vociferus,210,77646
Mountain Plover,Charadrius montanus,Mountain Plover,Charadrius montanus,211,77648
Eurasian Dotterel,Charadrius morinellus,Eurasian Dotterel,Eudromias morinellus,212,77673
Northern Jacana,Jacana spinosa,Northern Jacana,Jacana spinosa,213,76762
Upland Sandpiper,Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,214,79220
Little Curlew,Numenius minutus,Little Curlew,Numenius minutus,215,79215
Eskimo Curlew,Numenius borealis,Eskimo Curlew,Numenius borealis,216,79214
Whimbrel,Numenius phaeopus,Whimbrel,Numenius phaeopus,217,79206
Bristle-thighed Curlew,Numenius tahitiensis,Bristle-thighed Curlew,Numenius tahitiensis,218,79213
Far Eastern Curlew,Numenius madagascariensis,Far Eastern Curlew,Numenius madagascariensis,219,79205
Slender-billed Curlew,Numenius tenuirostris,Slender-billed Curlew,Numenius tenuirostris,220,79216
Eurasian Curlew,Numenius arquata,Eurasian Curlew,Numenius arquata,221,79203
Long-billed Curlew,Numenius americanus,Long-billed Curlew,Numenius americanus,222,79200
Black-tailed Godwit,Limosa limosa,Black-tailed Godwit,Limosa limosa,223,79309
Hudsonian Godwit,Limosa haemastica,Hudsonian Godwit,Limosa haemastica,224,79308
Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,225,79304
Marbled Godwit,Limosa fedoa,Marbled Godwit,Limosa fedoa,226,79303
Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,227,77702
Black Turnstone,Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,228,77705
Great Knot,Calidris tenuirostris,Great Knot,Calidris tenuirostris,229,79258
Red Knot,Calidris canutus,Red Knot,Calidris canutus,230,79255
Surfbird,Calidris virgata,Surfbird,Calidris virgata,231,79289
Ruff,Calidris pugnax,Ruff,Calidris pugnax,232,1006096
Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,Calidris falcinellus,233,80274
Sharp-tailed Sandpiper,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,234,79266
Stilt Sandpiper,Calidris himantopus,Stilt Sandpiper,Calidris himantopus,235,266972
Curlew Sandpiper,Calidris ferruginea,Curlew Sandpiper,Calidris ferruginea,236,79275
Temminck's Stint,Calidris temminckii,Temminck's Stint,Calidris temminckii,237,79272
Long-toed Stint,Calidris subminuta,Long-toed Stint,Calidris subminuta,238,79271
Spoon-billed Sandpiper,Calidris pygmea,Spoon-billed Sandpiper,Calidris pygmaea,239,80252
Red-necked Stint,Calidris ruficollis,Red-necked Stint,Calidris ruficollis,240,79273
Sanderling,Calidris alba,Sanderling,Calidris alba,241,79284
Dunlin,Calidris alpina,Dunlin,Calidris alpina,242,79276
Rock Sandpiper,Calidris ptilocnemis,Rock Sandpiper,Calidris ptilocnemis,243,79260
Purple Sandpiper,Calidris maritima,Purple Sandpiper,Calidris maritima,244,79259
Baird's Sandpiper,Calidris bairdii,Baird's Sandpiper,Calidris bairdii,245,79269
Little Stint,Calidris minuta,Little Stint,Calidris minuta,246,79286
Least Sandpiper,Calidris minutilla,Least Sandpiper,Calidris minutilla,247,79270
White-rumped Sandpiper,Calidris fuscicollis,White-rumped Sandpiper,Calidris fuscicollis,248,79268
Buff-breasted Sandpiper,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,249,926915
Pectoral Sandpiper,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,250,79267
Semipalmated Sandpiper,Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,251,79282
Western Sandpiper,Calidris mauri,Western Sandpiper,Calidris mauri,252,79283
Short-billed Dowitcher,Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,253,79291
Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,254,79295
Jack Snipe,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,255,79198
Wilson's Snipe,Gallinago delicata,Wilson's Snipe,Gallinago delicata,256,631807
Common Snipe,Gallinago gallinago,Common Snipe,Gallinago gallinago,257,80257
Pin-tailed Snipe,Gallinago stenura,Pintail Snipe,Gallinago stenura,258,80268
Solitary Snipe,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,259,80266
Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,260,79183
American Woodcock,Scolopax minor,American Woodcock,Scolopax minor,261,79186
Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus cinereus,262,80276
Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,263,79223
Spotted Sandpiper,Actitis macularius,Spotted Sandpiper,Actitis macularius,264,631809
Green Sandpiper,Tringa ochropus,Green Sandpiper,Tringa ochropus,265,79244
Solitary Sandpiper,Tringa solitaria,Solitary Sandpiper,Tringa solitaria,266,79225
Gray-tailed Tattler,Tringa brevipes,Grey-tailed Tattler,Tringa brevipes,267,79237
Wandering Tattler,Tringa incana,Wandering Tattler,Tringa incana,268,79242
Spotted Redshank,Tringa erythropus,Spotted Redshank,Tringa erythropus,269,79232
Greater Yellowlegs,Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca,270,79229
Common Greenshank,Tringa nebularia,Common Greenshank,Tringa nebularia,271,79235
Willet,Tringa semipalmata,Willet,Tringa semipalmata,272,848304
Lesser Yellowlegs,Tringa flavipes,Lesser Yellowlegs,Tringa flavipes,273,79231
Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa stagnatilis,274,79245
Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa glareola,275,79228
Common Redshank,Tringa totanus,Common Redshank,Tringa totanus,276,79233
Wilson's Phalarope,Phalaropus tricolor,Wilson's Phalarope,Steganopus tricolor,277,80296
Red-necked Phalarope,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,278,80295
Red Phalarope,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,279,80294
Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,280,80337
Great Skua,Stercorarius skua,Great Skua,Catharacta skua,281,490324
South Polar Skua,Stercorarius maccormicki,South Polar Skua,Catharacta maccormicki,282,490331
Pomarine Jaeger,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,283,80358
Parasitic Jaeger,Stercorarius parasiticus,Arctic Jaeger,Stercorarius parasiticus,284,80359
Long-tailed Jaeger,Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,285,80360
Dovekie,Alle alle,Little Auk,Alle alle,286,81909
Common Murre,Uria aalge,Common Murre,Uria aalge,287,81900
Thick-billed Murre,Uria lomvia,Thick-billed Murre,Uria lomvia,288,81904
Razorbill,Alca torda,Razorbill,Alca torda,289,81897
Great Auk,Pinguinus impennis,Great Auk,Pinguinus impennis,290,81971
Black Guillemot,Cepphus grylle,Black Guillemot,Cepphus grylle,291,81912
Pigeon Guillemot,Cepphus columba,Pigeon Guillemot,Cepphus columba,292,81919
Long-billed Murrelet,Brachyramphus perdix,Long-billed Murrelet,Brachyramphus perdix,293,266968
Marbled Murrelet,Brachyramphus marmoratus,Marbled Murrelet,Brachyramphus marmoratus,294,81924
Kittlitz's Murrelet,Brachyramphus brevirostris,Kittlitz's Murrelet,Brachyramphus brevirostris,295,81926
Scripps's Murrelet,Synthliboramphus scrippsi,Scripps's Murrelet,Synthliboramphus scrippsi,296,1006098
Guadalupe Murrelet,Synthliboramphus hypoleucus,Guadalupe Murrelet,Synthliboramphus hypoleucus,297,81943
