CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Bald Eagle,Haliaeetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus,476,80444
White-tailed Eagle,Haliaeetus albicilla,White-tailed Sea-eagle,Haliaeetus albicilla,477,80442
Steller's Sea-Eagle,Haliaeetus pelagicus,Steller's Sea-eagle,Haliaeetus pelagicus,478,80447
Northern Harrier,Circus cyaneus,Northern Harrier,Circus hudsonius,479,80455
Sharp-shinned Hawk,Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus,480,79512
Cooper's Hawk,Accipiter cooperii,Cooper's Hawk,Accipiter cooperii,481,79517
Northern Goshawk,Accipiter gentilis,Northern Goshawk,Accipiter gentilis,482,79508
Crane Hawk,Geranospiza caerulescens,Crane Hawk,Geranospiza caerulescens,483,81756
Common Black Hawk,Buteogallus anthracinus,Common Black Hawk,Buteogallus anthracinus,484,80424
Roadside Hawk,Rupornis magnirostris,Roadside Hawk,Rupornis magnirostris,485,848277
Harris's Hawk,Parabuteo unicinctus,Harris's Hawk,Parabuteo unicinctus,486,80417
White-tailed Hawk,Geranoaetus albicaudatus,White-tailed Hawk,Geranoaetus albicaudatus,487,1002949
Gray Hawk,Buteo plagiatus,Grey Hawk,Buteo plagiatus,488,1002948
Red-shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,Buteo lineatus,489,79572
Broad-winged Hawk,Buteo platypterus,Broad-winged Hawk,Buteo platypterus,490,79579
Short-tailed Hawk,Buteo brachyurus,Short-tailed Hawk,Buteo brachyurus,491,80390
Swainson's Hawk,Buteo swainsoni,Swainson's Hawk,Buteo swainsoni,492,79581
Zone-tailed Hawk,Buteo albonotatus,Zone-tailed Hawk,Buteo albonotatus,493,79582
Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Buteo jamaicensis,494,79563
Rough-legged Hawk,Buteo lagopus,Rough-legged Buzzard,Buteo lagopus,495,80391
Ferruginous Hawk,Buteo regalis,Ferruginous Hawk,Buteo regalis,496,80395
Golden Eagle,Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,497,80429
Barn Owl,Tyto alba,Common Barn-owl,Tyto alba,498,80736
Flammulated Owl,Psiloscops flammeolus,Flammulated Owl,Psiloscops flammeolus,499,926920
Oriental Scops-Owl,Otus sunia,Oriental Scops-owl,Otus sunia,500,80770
Western Screech-Owl,Megascops kennicottii,Western Screech-owl,Megascops kennicottii,501,543207
Eastern Screech-Owl,Megascops asio,Eastern Screech-owl,Megascops asio,502,543205
Whiskered Screech-Owl,Megascops trichopsis,Whiskered Screech-owl,Megascops trichopsis,503,543214
Great Horned Owl,Bubo virginianus,Great Horned Owl,Bubo virginianus,504,80772
Snowy Owl,Bubo scandiacus,Snowy Owl,Bubo scandiacus,505,543953
Northern Hawk Owl,Surnia ulula,Northern Hawk-owl,Surnia ulula,506,80787
Northern Pygmy-Owl,Glaucidium gnoma,Northern Pygmy-owl,Glaucidium californicum,507,82935
Ferruginous Pygmy-Owl,Glaucidium brasilianum,Ferruginous Pygmy-owl,Glaucidium brasilianum,508,82941
Elf Owl,Micrathene whitneyi,Elf Owl,Micrathene whitneyi,509,82946
Burrowing Owl,Athene cunicularia,Burrowing Owl,Athene cunicularia,510,82983
Mottled Owl,Ciccaba virgata,Mottled Owl,Ciccaba virgata,511,269110
Spotted Owl,Strix occidentalis,Spotted Owl,Strix occidentalis,512,82960
Barred Owl,Strix varia,Barred Owl,Strix varia,513,82956
Great Gray Owl,Strix nebulosa,Great Grey Owl,Strix nebulosa,514,82964
Long-eared Owl,Asio otus,Northern Long-eared Owl,Asio otus,515,82968
Stygian Owl,Asio stygius,Stygian Owl,Asio stygius,516,270908
Short-eared Owl,Asio flammeus,Short-eared Owl,Asio flammeus,517,82971
Boreal Owl,Aegolius funereus,Boreal Owl,Aegolius funereus,518,82974
Northern Saw-whet Owl,Aegolius acadicus,Northern Saw-whet Owl,Aegolius acadicus,519,82979
Northern Boobook,Ninox japonica,Northern Boobook,Ninox japonica,520,545692
Elegant Trogon,Trogon elegans,Elegant Trogon,Trogon elegans,521,83954
Eared Quetzal,Euptilotis neoxenus,Eared Quetzal,Euptilotis neoxenus,522,83961
Eurasian Hoopoe,Upupa epops,,Upupa epops,523,83978
Ringed Kingfisher,Megaceryle torquata,Ringed Kingfisher,Megaceryle torquata,524,83969
Belted Kingfisher,Megaceryle alcyon,Belted Kingfisher,Megaceryle alcyon,525,83966
Amazon Kingfisher,Chloroceryle amazona,Amazon Kingfisher,Chloroceryle amazona,526,269886
Green Kingfisher,Chloroceryle americana,Green Kingfisher,Chloroceryle americana,527,83973
